Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;ICA Estación
25/08/2025;21:00;0,61;0,23;25;19;Muy bueno / Oso ona;26,75;Bueno / Ona;15,54;Bueno / Ona;1;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;20:00;0,79;0,25;15;12;Muy bueno / Oso ona;26,67;Bueno / Ona;15,42;Bueno / Ona;1;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;19:00;0,15;0,2;14;10;Muy bueno / Oso ona;26,29;Bueno / Ona;15,13;Bueno / Ona;1;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;18:00;0,31;0,22;15;12;Muy bueno / Oso ona;26,08;Bueno / Ona;14,88;Bueno / Ona;1;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;17:00;0,6;0,2;27;21;Muy bueno / Oso ona;25,5;Bueno / Ona;14,54;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;16:00;0,57;0,12;27;20;Muy bueno / Oso ona;25;Bueno / Ona;14,29;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;15:00;0,18;0,08;15;10;Muy bueno / Oso ona;24,21;Bueno / Ona;14;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;14:00;0,05;0,07;11;8;Muy bueno / Oso ona;23,79;Bueno / Ona;13,75;Bueno / Ona;3;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;13:00;0,05;0,09;13;8;Muy bueno / Oso ona;23,38;Bueno / Ona;13,54;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;12:00;0,1;0,08;15;10;Muy bueno / Oso ona;23,21;Bueno / Ona;13,38;Bueno / Ona;3;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;11:00;0,19;0,24;30;20;Muy bueno / Oso ona;22,92;Bueno / Ona;13,21;Bueno / Ona;3;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;10:00;0,05;;39;27;Muy bueno / Oso ona;22,04;Bueno / Ona;12,79;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;09:00;0,05;0,35;45;27;Muy bueno / Oso ona;;Sin datos / Daturik gabe;12,13;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;08:00;0,06;0,26;65;31;Muy bueno / Oso ona;;Sin datos / Daturik gabe;11,71;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;07:00;0,07;0,24;49;30;Muy bueno / Oso ona;19,46;Muy bueno / Oso ona;11,5;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;06:00;0,08;0,25;46;30;Muy bueno / Oso ona;19,04;Muy bueno / Oso ona;11,38;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;05:00;0,06;0,22;33;22;Muy bueno / Oso ona;18,04;Muy bueno / Oso ona;11,17;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;04:00;0,07;0,21;22;17;Muy bueno / Oso ona;17,71;Muy bueno / Oso ona;11,04;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;03:00;0,16;0,29;24;17;Muy bueno / Oso ona;17,67;Muy bueno / Oso ona;11;Bueno / Ona;2;Muy bueno / Oso ona;;;;Bueno / Ona
25/08/2025;02:00;0,09;0,29;22;18;Muy bueno / Oso ona;17,54;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
25/08/2025;01:00;0,18;0,28;25;22;Muy bueno / Oso ona;17,46;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;24:00;0,13;0,3;26;24;Muy bueno / Oso ona;17,46;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;23:00;0,23;0,3;29;25;Muy bueno / Oso ona;17,29;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;22:00;0,39;0,27;27;24;Muy bueno / Oso ona;17,13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;21:00;0,31;0,29;34;29;Muy bueno / Oso ona;17,04;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;20:00;0,06;0,25;19;13;Muy bueno / Oso ona;17;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;19:00;0,06;0,21;22;18;Muy bueno / Oso ona;17,04;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;18:00;0,03;0,13;21;15;Muy bueno / Oso ona;16,92;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;17:00;0,09;0,09;17;13;Muy bueno / Oso ona;16,79;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;16:00;0,2;0,06;20;14;Muy bueno / Oso ona;16,67;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;15:00;0,14;0,04;20;14;Muy bueno / Oso ona;16,46;Muy bueno / Oso ona;9,96;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;14:00;0,19;0,11;22;16;Muy bueno / Oso ona;16,29;Muy bueno / Oso ona;9,83;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;13:00;0,14;0,27;30;22;Muy bueno / Oso ona;16,13;Muy bueno / Oso ona;9,71;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;12:00;0,99;0,54;34;23;Muy bueno / Oso ona;15,83;Muy bueno / Oso ona;9,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;11:00;0,29;0,42;23;16;Muy bueno / Oso ona;15,71;Muy bueno / Oso ona;9,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;10:00;0,09;0,29;24;16;Muy bueno / Oso ona;15,79;Muy bueno / Oso ona;9,42;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;09:00;0,17;0,35;33;21;Muy bueno / Oso ona;15,88;Muy bueno / Oso ona;9,42;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;08:00;0,17;0,35;32;20;Muy bueno / Oso ona;15,96;Muy bueno / Oso ona;9,38;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;07:00;0,13;0,35;34;22;Muy bueno / Oso ona;15,96;Muy bueno / Oso ona;9,33;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;06:00;0,11;0,35;46;27;Muy bueno / Oso ona;15,92;Muy bueno / Oso ona;9,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;05:00;0,12;0,34;38;28;Muy bueno / Oso ona;15,71;Muy bueno / Oso ona;9,04;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;04:00;0,12;0,33;38;27;Muy bueno / Oso ona;15,54;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;03:00;0,11;0,29;29;25;Muy bueno / Oso ona;15,29;Muy bueno / Oso ona;8,71;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;02:00;0,15;0,29;24;20;Muy bueno / Oso ona;15,08;Muy bueno / Oso ona;8,54;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
24/08/2025;01:00;0,18;0,3;27;20;Muy bueno / Oso ona;14,88;Muy bueno / Oso ona;8,38;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;24:00;0,19;0,32;25;20;Muy bueno / Oso ona;14,71;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;23:00;0,59;0,32;23;18;Muy bueno / Oso ona;14,58;Muy bueno / Oso ona;8,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;22:00;1,11;0,33;30;23;Muy bueno / Oso ona;14,46;Muy bueno / Oso ona;8,08;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;21:00;0,6;0,32;29;25;Muy bueno / Oso ona;14,25;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;20:00;0,27;0,26;17;14;Muy bueno / Oso ona;13,96;Muy bueno / Oso ona;7,83;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;19:00;0,03;0,1;10;7;Muy bueno / Oso ona;13,79;Muy bueno / Oso ona;7,79;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;18:00;0,11;0,02;11;6;Muy bueno / Oso ona;13,71;Muy bueno / Oso ona;7,71;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;17:00;0,15;0,03;11;7;Muy bueno / Oso ona;13,54;Muy bueno / Oso ona;7,58;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;16:00;0,18;0,03;10;7;Muy bueno / Oso ona;13,29;Muy bueno / Oso ona;7,46;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;15:00;0,15;0,04;7;4;Muy bueno / Oso ona;13,13;Muy bueno / Oso ona;7,33;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;14:00;0,15;0,1;8;5;Muy bueno / Oso ona;12,92;Muy bueno / Oso ona;7,25;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;13:00;0,07;0,11;11;7;Muy bueno / Oso ona;12,67;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;12:00;0,28;0,11;9;5;Muy bueno / Oso ona;12,5;Muy bueno / Oso ona;7;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;11:00;0,08;0,19;10;6;Muy bueno / Oso ona;12,38;Muy bueno / Oso ona;6,88;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;10:00;0,08;0,25;15;9;Muy bueno / Oso ona;12,29;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;09:00;0,15;0,31;41;22;Muy bueno / Oso ona;12,17;Muy bueno / Oso ona;6,71;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;08:00;0,13;0,34;49;26;Muy bueno / Oso ona;11,96;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;07:00;0,13;0,33;46;27;Muy bueno / Oso ona;12;Muy bueno / Oso ona;6,54;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;06:00;0,07;0,28;30;23;Muy bueno / Oso ona;12,17;Muy bueno / Oso ona;6,54;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;05:00;0,07;0,28;30;24;Muy bueno / Oso ona;12,5;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;04:00;0,06;0,27;26;20;Muy bueno / Oso ona;12,75;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;03:00;0,06;0,24;18;15;Muy bueno / Oso ona;12,92;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;02:00;0,06;0,25;19;16;Muy bueno / Oso ona;13,04;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
23/08/2025;01:00;0,07;0,27;16;12;Muy bueno / Oso ona;13,13;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;24:00;0,04;0,25;15;12;Muy bueno / Oso ona;13,17;Muy bueno / Oso ona;7;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;23:00;0,07;0,24;19;16;Muy bueno / Oso ona;13,21;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;22:00;0,03;0,21;23;17;Muy bueno / Oso ona;13,29;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;21:00;0,05;0,18;23;17;Muy bueno / Oso ona;13,46;Muy bueno / Oso ona;7,29;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;20:00;0,06;0,18;17;12;Muy bueno / Oso ona;13,58;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;19:00;0,49;0,13;8;5;Muy bueno / Oso ona;13,71;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;18:00;0,11;0,1;8;5;Muy bueno / Oso ona;13,88;Muy bueno / Oso ona;7,54;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;17:00;0,12;0,09;8;5;Muy bueno / Oso ona;14,21;Muy bueno / Oso ona;7,71;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;16:00;0,18;0,08;10;6;Muy bueno / Oso ona;14,5;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;15:00;0,09;0,08;9;6;Muy bueno / Oso ona;14,75;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;14:00;0,09;0,1;11;6;Muy bueno / Oso ona;15,21;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;13:00;0,09;0,13;15;8;Muy bueno / Oso ona;15,54;Muy bueno / Oso ona;8,42;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;12:00;0,06;0,19;11;7;Muy bueno / Oso ona;15,83;Muy bueno / Oso ona;8,63;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;11:00;0,07;0,24;20;12;Muy bueno / Oso ona;15,88;Muy bueno / Oso ona;8,75;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;10:00;0,09;0,27;20;13;Muy bueno / Oso ona;15,92;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;09:00;0,07;0,31;29;19;Muy bueno / Oso ona;16,17;Muy bueno / Oso ona;9,04;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;08:00;0,07;0,3;23;17;Muy bueno / Oso ona;16,42;Muy bueno / Oso ona;9,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;07:00;0,04;0,3;28;21;Muy bueno / Oso ona;16,46;Muy bueno / Oso ona;9,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;06:00;0,06;0,28;28;19;Muy bueno / Oso ona;16,33;Muy bueno / Oso ona;9,33;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;05:00;0,04;0,26;18;14;Muy bueno / Oso ona;16;Muy bueno / Oso ona;9,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;04:00;0,05;0,25;27;16;Muy bueno / Oso ona;15,67;Muy bueno / Oso ona;9,13;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;03:00;0,04;0,32;10;7;Muy bueno / Oso ona;15,46;Muy bueno / Oso ona;9,08;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;02:00;0,11;0,33;9;6;Muy bueno / Oso ona;15,25;Muy bueno / Oso ona;9,08;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
22/08/2025;01:00;0,26;0,33;15;9;Muy bueno / Oso ona;15;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;24:00;0,12;0,32;11;8;Muy bueno / Oso ona;14,75;Muy bueno / Oso ona;8,79;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;23:00;0,08;0,32;12;9;Muy bueno / Oso ona;14,46;Muy bueno / Oso ona;8,63;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;22:00;0,05;0,32;18;14;Muy bueno / Oso ona;14,21;Muy bueno / Oso ona;8,46;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;21:00;0,04;0,3;16;12;Muy bueno / Oso ona;13,92;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;20:00;0,07;0,31;10;7;Muy bueno / Oso ona;13,71;Muy bueno / Oso ona;8,13;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;19:00;0,08;0,3;11;7;Muy bueno / Oso ona;13,63;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;18:00;0,12;0,3;12;7;Muy bueno / Oso ona;13,5;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;17:00;0,09;0,28;10;7;Muy bueno / Oso ona;13,33;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;16:00;0,26;0,27;11;8;Muy bueno / Oso ona;13,33;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;15:00;0,19;0,29;12;7;Muy bueno / Oso ona;13,21;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;14:00;0,26;0,3;15;10;Muy bueno / Oso ona;12,71;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;13:00;0,16;0,35;20;15;Muy bueno / Oso ona;12,42;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;12:00;0,22;0,35;21;15;Muy bueno / Oso ona;12,04;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;11:00;0,21;0,35;23;16;Muy bueno / Oso ona;11,88;Muy bueno / Oso ona;7;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;10:00;0,26;0,35;21;15;Muy bueno / Oso ona;11,79;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;09:00;0,29;0,35;19;14;Muy bueno / Oso ona;11,58;Muy bueno / Oso ona;6,54;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;08:00;0,06;0,38;24;18;Muy bueno / Oso ona;11,38;Muy bueno / Oso ona;6,33;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;07:00;0,2;0,39;32;26;Muy bueno / Oso ona;11,46;Muy bueno / Oso ona;6,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;06:00;0,14;0,36;24;18;Muy bueno / Oso ona;11,33;Muy bueno / Oso ona;6,13;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;05:00;0,25;0,31;15;11;Muy bueno / Oso ona;11,46;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;04:00;0,2;0,28;16;11;Muy bueno / Oso ona;11,71;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;03:00;0,1;0,22;9;6;Muy bueno / Oso ona;11,75;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;02:00;0,13;0,21;7;6;Muy bueno / Oso ona;11,79;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
21/08/2025;01:00;0,1;0,22;8;5;Muy bueno / Oso ona;11,92;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;24:00;0,06;0,2;8;4;Muy bueno / Oso ona;11,92;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;23:00;0,1;0,2;8;5;Muy bueno / Oso ona;11,96;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;22:00;0,12;0,19;14;10;Muy bueno / Oso ona;12;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;21:00;0,14;0,2;16;10;Muy bueno / Oso ona;12;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;20:00;0,1;0,21;10;7;Muy bueno / Oso ona;11,96;Muy bueno / Oso ona;6;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;19:00;0,06;0,21;12;9;Muy bueno / Oso ona;11,79;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;18:00;0,17;0,17;10;7;Muy bueno / Oso ona;11,54;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;17:00;0,31;0,2;11;6;Muy bueno / Oso ona;11,25;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;16:00;0,27;0,2;11;6;Muy bueno / Oso ona;10,92;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;15:00;0,21;0,23;11;6;Muy bueno / Oso ona;11;Muy bueno / Oso ona;5,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;14:00;0,15;0,22;13;7;Muy bueno / Oso ona;11,75;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;13:00;0,15;0,21;15;8;Muy bueno / Oso ona;12,33;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;12:00;0,16;0,22;11;5;Muy bueno / Oso ona;12,88;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;11:00;0,19;0,22;12;6;Muy bueno / Oso ona;13,09;Muy bueno / Oso ona;6,27;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;10:00;0,15;0,22;12;7;Muy bueno / Oso ona;13,7;Muy bueno / Oso ona;6,73;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;09:00;0,13;0,26;29;20;Muy bueno / Oso ona;14,17;Muy bueno / Oso ona;7,05;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;08:00;0,2;0,34;50;28;Muy bueno / Oso ona;14,78;Muy bueno / Oso ona;7,36;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;07:00;0,15;0,35;46;29;Muy bueno / Oso ona;15,13;Muy bueno / Oso ona;7,59;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;06:00;0,12;0,33;41;28;Muy bueno / Oso ona;15,61;Muy bueno / Oso ona;7,82;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;05:00;0,1;0,3;36;26;Muy bueno / Oso ona;15,87;Muy bueno / Oso ona;8,09;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;04:00;0,1;0,29;31;23;Muy bueno / Oso ona;15,96;Muy bueno / Oso ona;8,27;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
20/08/2025;03:00;0,1;0,32;28;21;Muy bueno / Oso ona;16,35;Muy bueno / Oso ona;8,59;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
